CNPJ,Time
60401316000117,Time 2
29226704000169,Time 2
44705662000132,Time 2
44705452000144,Time 2
10434089000158,Time 2
34850033000142,Time 2
41163552000106,Time 2
55211792000135,Time 2
55508226000190,Time 2
52093999000164,Time 2
23246620000100,Time 2
55843467000195,Time 2
59086325000181,Time 2
53286391000119,Time 2
58533096000133,Time 2
44002535000177,Time 2
36703167000166,Time 2
23954863000101,Time 2
53167853000189,Time 2
53214754000100,Time 2
47425628000100,Time 2
42265317000108,Time 2
54976534000187,Time 2
56964123000105,Time 2
44395657000170,Time 2
53337453000174,Time 2
44395637000108,Time 2
53337522000140,Time 2
49617028000161,Time 2
49938183000180,Time 2
49550818000177,Time 2
47846916000120,Time 2
39580984000162,Time 2
44273371000112,Time 2
55395204000160,Time 2
55296116000101,Time 2
51951316000108,Time 2
59695343000160,Time 2
55125894000138,Time 2
60327212000100,Time 2
53215017000122,Time 2
44574007000192,Time 2
46230817000157,Time 2
56147999000150,Time 2
26913809000106,Time 2
41557655000142,Time 2
37298599000100,Time 2
56322644000150,Time 2
40296722000150,Time 2
53214328000177,Time 2
42556260000198,Time 2
54410544000150,Time 2
55383671000170,Time 2
40211648000121,Time 2
53032513000140,Time 2
32526025000110,Time 2
29242769000106,Time 2
23956882000169,Time 2
14042458000118,Time 2
10237131000140,Time 2
41325993000159,Time 2
51707901000159,Time 2
57284265000186,Time 2
64041032000118,Time 2
53560992000178,Time 2
64168221000156,Time 2
2039468000115,Time 2
51864349000102,Time 2
23104485000169,Time 2
47425841000104,Time 2
58426775000103,Time 2
60759193000190,Time 2
52307401000192,Time 2
30258790000170,Time 2
29242809000101,Time 2
29242844000120,Time 2
24976450000182,Time 2
51030944000142,Time 2
21254441000190,Time 2
53271809000114,Time 2
15489509000117,Time 2
27944660000187,Time 2
57456281000109,Time 2
58396668000180,Time 2
51045717000190,Time 2
52498421000198,Time 2
57922500000106,Time 2
20451888000196,Time 2
29226295000109,Time 2
26756123000140,Time 2
30283468000100,Time 2
32388169000157,Time 2
39617894000107,Time 2
54591932000185,Time 2
9577041000110,Time 2
52961161000145,Time 2
10996108000130,Time 2
64024849000188,Time 2
58496557000145,Time 2
32140405000111,Time 2
20826532000190,Time 2
55726727000142,Time 2
40697917000101,Time 2
13974813000124,Time 2
34197700000130,Time 2
9601239000191,Time 2
32948668000151,Time 2
41269359000146,Time 2
45777119000103,Time 2
32510444000163,Time 2
53880657000157,Time 2
64756178000140,Time 2
18141587000114,Time 2
31006231000136,Time 2
55893494000172,Time 2
22340978000135,Time 2
14038410000136,Time 2
37310965000190,Time 2
64082064000161,Time 2
37120828000193,Time 2
26648770000139,Time 2
63114707000149,Time 2
23941302000160,Time 2
20451857000135,Time 2
29226309000186,Time 2
36083403000199,Time 2
52997858000176,Time 2
9645331000153,Time 2
50941133000130,Time 2
50566230000190,Time 2
31771948000174,Time 2
30283991000128,Time 2
52714676000140,Time 2
41351648000190,Time 2
20905778000157,Time 2
51587009000181,Time 2
29969815000165,Time 2
29953901000180,Time 2
54974348000109,Time 2
32525789000190,Time 2
16626130000174,Time 2
55728962000153,Time 2
40955930000113,Time 2
40955907000129,Time 2
51554117000158,Time 2
37036353000151,Time 2
26199686000185,Time 2
47463387000186,Time 2
49427187000101,Time 2
32771763000122,Time 2
32528601000168,Time 2
62125536000190,Time 2
52430088000185,Time 2
8944436000140,Time 2
57107628000108,Time 2
29226654000110,Time 2
54996578000179,Time 2
32528116000194,Time 2
53877402000135,Time 2
44109286000113,Time 2
30687633000180,Time 2
58829200000131,Time 2
41395100000141,Time 2
40226200000181,Time 2
46801085000108,Time 2
46390267000133,Time 2
52607408000120,Time 2
52259737000127,Time 2
49669950000100,Time 2
62917185000150,Time 2
53095984000106,Time 2
54974598000149,Time 2
60910091000124,Time 2
56912548000162,Time 2
59843866000107,Time 2
54111764000183,Time 2
23200289000198,Time 2
31933790000191,Time 2
33019220000116,Time 2
17198845000136,Time 2
16802124000120,Time 2
17103058000163,Time 2
47859989000157,Time 2
43619145000188,Time 2
30332581000120,Time 2
32356892000154,Time 2
10145630000108,Time 2
28877869000138,Time 2
58364147000140,Time 2
55401645000128,Time 2
55218837000101,Time 2
29226492000110,Time 2
29242992000145,Time 2
61331497000115,Time 2
52362629000185,Time 2
52356145000123,Time 2
59213700000107,Time 2
20815620000196,Time 2
30282464000107,Time 2
41956196000170,Time 2
3962060000183,Time 2
12834698000120,Time 2
55955665000140,Time 2
