CNPJ,Time
26690643000106,Time 2
20692070000165,Time 2
20692245000134,Time 2
52044598000114,Time 2
46390299000139,Time 2
46285106000180,Time 2
61228249000143,Time 2
41341254000150,Time 2
39722215000151,Time 2
32990730000173,Time 2
37121165000121,Time 2
42627599000138,Time 2
50808063000147,Time 2
29242908000193,Time 2
34218960000144,Time 2
46766050000185,Time 2
49220648000162,Time 2
47425887000123,Time 2
52989090000199,Time 2
43236160000147,Time 2
58152340000118,Time 2
21862783000192,Time 2
18647268000185,Time 2
13598226000188,Time 2
23006061000161,Time 2
26984656000180,Time 2
47463373000162,Time 2
53164551000157,Time 2
58223324000179,Time 2
23956975000193,Time 2
12167116000107,Time 2
57661848000189,Time 2
63657457000193,Time 2
50739342000104,Time 2
29152773000175,Time 2
30687481000116,Time 2
32511167000103,Time 2
30282418000108,Time 2
30687408000144,Time 2
53327560000111,Time 2
40800541000119,Time 2
41340960000188,Time 2
53577135000180,Time 2
51646633000102,Time 2
